Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
jezebel.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0
officialtobinbell.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
olx.ua,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
live-microsoft.dns.army,0,0,0,2,0,0,0,1,1,0,1,1,0,0,1,0,1
servisgaza.ru,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1
stackoverflow.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
olx.ua,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
vtchekhov.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
itaucomvoce.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
verifedby3.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
gov.uk,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
correios.com.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
secure-info.co.uk,0,0,1,11,0,0,0,1,0,1,0,0,0,0,1,0,1
hindva.com,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,1
wizmozinteractive.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
playarprint.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1
vkvzlomid.viptop.ru,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
cookpad.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
stratserv-ssl-apps.jens-heinricl24.de,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
firebasestorage.googleapis.com,0,0,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1
groupabamcolombiaweb.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
espaceclientv1.fr,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
advonationusa.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,1
techcrunch.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
spatialsys.com.ru,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
sourceforge.net,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
interpark.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
forms.office.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
css-tricks.com,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0
serwer2057731.home.pl,0,0,1,9,0,0,0,0,0,1,0,1,0,0,1,0,1
taddepol.edu.hk,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1
correios.com.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
affm.info,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,1
nymag.com,0,0,1,9,0,0,0,0,0,1,0,0,0,0,1,1,0
instagram.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
sistemadeatualizacaautomaticoonline.tk,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1
gov.uk,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
kisa.link,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
www2.fluoder.com.py,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
netciti.id,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
fanxtv.info,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,0
zohard.com,0,0,1,8,0,0,0,0,1,1,1,1,1,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
comicbook.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,0
ysgolbodhyfryd.co.uk,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,1
gov.uk,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
olx.ro,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0,0
otomoto.pl,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
viewitem.eday.co.uk.itm.vauxhallastramk516174257807917item289293222dj4aaoswq4venxoo.cloudhappyconsulting.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
medium.com,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
paypalp.ontraport.com,0,0,1,12,0,0,1,0,0,1,0,0,0,0,1,0,1
blacksheepeventi.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
thatsmint.work,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1
ringring.vn,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
trulytravelistic.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
motthegioi.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
uproxx.com,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,0
variety.com,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0
web-psd2-group.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
onedrive.live.com,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
askubuntu.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
putlocker.is,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
wriot-alternate.app.link,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
watch-series-tv.to,0,0,1,2,0,0,0,1,0,0,1,1,0,0,1,0,0
waylandplanninganddevelopment.uk,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
correios.com.br,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
searchengineland.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
flightstoeurope.us,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
1drv.ms,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1
distractify.com,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,0
pd-iskra-lj.si,0,0,1,5,0,0,0,1,0,0,0,1,1,0,1,0,1
sfglobe.com,0,0,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0
codepen.io,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
olx.pl,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,0
baleshwerbabaonline.com,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,1
sfglobe.com,0,0,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0
induferram.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,1
seekingalpha.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
qz.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
pips.fis.um.ac.id,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,1
fortune.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
nordichairistanbul.com,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1
sourceforge.net,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
depibellamonterrey.com,0,1,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
dota2-starts.fun,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
g8consultores.com.ar,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
correios.com.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
bravobeveiliging-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0,1
nesn.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
spankbang.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
teespring.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
searchengineland.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
slashdot.org,0,0,1,6,0,0,0,0,1,1,1,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
printerparts.co.ke,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
sucursalbancolombiapesonal.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
forms.gle,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
alzahrani-online.com,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,1
infopublishersassociation.com,0,0,1,8,0,0,0,0,0,1,0,1,1,0,1,0,1
u707453pis.ha004.t.justns.ru,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1
cruzsantiagoverta.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
chuckstransport.com,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
indianexpress.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
comvoececontastone20.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
ip-132-148-145-99.ip.secureserver.net,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
170.84.83.54,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
sberbank.ru,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,0
bcpzonasegurabeta-viabcp-com.fusiontechsoftware.com,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,1
society-friends.com,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
acesso-portal.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
abano5.ge,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
itaulimite.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
k-astal.com,0,0,1,3,0,0,0,1,0,0,1,1,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
tinnhanh360.net,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
bankofamerica-logins.dns05.com,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,1
planwise.co.za,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,1
zbavit.live,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
mall.ie,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
venturebeat.com,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,0
censor.net.ua,0,0,1,14,0,0,0,0,0,1,0,1,0,0,1,0,0
kakaku.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
buzzfil.net,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
adelahidalgo.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1
adislpe.co.uk,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
fudavida.org,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,1
xvideo-jp.com,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0
maybank2u.com.my,0,0,1,4,0,0,0,0,1,1,1,1,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
rebrand.ly,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
gizmodo.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
taddepol.edu.hk,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1
io9.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
auto.ru,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
mashable.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,0
supperbelle.com,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
olx.ro,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,1,0
fgts-liberado.epizy.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
secure.runescape.com-as.ru,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,1
allrecipes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,1,1,1,0
distractify.com,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,0
budgetbots.com,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,1
qz.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
web.de,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
am-t.by,0,0,0,5,0,0,0,1,0,1,0,1,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
buzzfil.net,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
buzzfil.net,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
persianblog.ir,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
bigcinema.tv,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
perdoesdiesel.com.br,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
teespring.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
netorgft2223515-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0,1
serverfault.com,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0
e-donusum.vbt.com.tr,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1
olx.ua,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
j-books.jp,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
olx.in,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0
buzzfil.net,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
perdoesdiesel.com.br,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1
olx.ro,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0
leadershipauthoritypro.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
qz.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
restaurantelabarquita.com,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
turkmcse.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
kcicon.org,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,1
turkmcse.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
courgeon-immobilier.fr,0,0,1,7,0,0,0,1,0,1,0,1,0,0,1,0,1
